Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    2687        0     3482   100.0%          180      62365  (6169 3482 3430 3445)
    1658        0    14583   100.0%          180      62421  (16241 14583 14531 14532)
    1855        5    36489    99.7%          180      62566  (38349 36489 36354 36349)
    1670        5    16728    99.7%          180      62633  (18403 16728 16667 16662)
    1688        4    16323    99.8%          180      62696  (18015 16323 16262 16258)
    2648        0    14134   100.0%          180      62751  (16782 14134 14055 14056)
    1606        0     7959   100.0%          180      62782  (9565 7959 7928 7928)
    1887        6    41917    99.7%          180      62947  (43810 41917 41762 41756)
    1664        5    15989    99.7%          180      63010  (17658 15989 15932 15927)
    1722        3    22238    99.8%          180      63097  (23963 22238 22153 22150)
    2660        1     9788   100.0%          180      63138  (12449 9788 9718 9717)
    1607        0    11294   100.0%          180      63181  (12901 11294 11252 11252)
    1885        4    38329    99.8%          180      63333  (40218 38329 38186 38182)
    1667        5    16254    99.7%          180      63401  (17926 16254 16195 16190)
    1734        5    22236    99.7%          181      63490  (23975 22236 22153 22148)
    2624        0     8762   100.0%          181      63525  (11386 8762 8696 8697)
    1618        0    12578   100.0%          181      63573  (14196 12578 12531 12531)
    1859        5    37159    99.7%          181      63721  (39023 37159 37022 37017)
    1678        5    18128    99.7%          181      63793  (19811 18128 18061 18056)
    1760       10    20495    99.4%          181      63872  (22265 20495 20424 20414)
    2617        0     9527   100.0%          181      63911  (12144 9527 9456 9458)
    1620        1    10861    99.9%          181      63953  (12482 10861 10824 10823)
    1858        4    34587    99.8%          181      64090  (36449 34587 34459 34455)
    1732        4    24754    99.8%          181      64193  (26490 24754 24661 24657)
    1733        7    21003    99.6%          181      64276  (22743 21003 20927 20920)
    2606        0     4912   100.0%          181      64298  (7518 4912 4856 4858)
    1675        3    20528    99.8%          181      64376  (22206 20528 20454 20451)
    1809        4    28932    99.8%          181      64493  (30745 28932 28826 28822)
    1700        3    19129    99.8%          181      64567  (20832 19129 19056 19053)
